"sandwich_taken","weight","class"
8,44,"class_1"
8,38,"class_1"
7,40,"class_1"
8,42,"class_1"
8,36,"class_1"
10,29,"class_1"
6,43,"class_1"
8,35,"class_1"
8,31,"class_1"
7,36,"class_1"
8,31,"class_1"
8,32,"class_1"
7,45,"class_1"
8,38,"class_1"
8,33,"class_1"
7,42,"class_1"
8,36,"class_1"
7,36,"class_1"
7,33,"class_1"
7,41,"class_1"
6,44,"class_2"
10,35,"class_2"
8,41,"class_2"
17,32,"class_2"
13,37,"class_2"
8,38,"class_2"
8,46,"class_2"
7,39,"class_2"
10,32,"class_2"
11,34,"class_2"
6,42,"class_2"
9,38,"class_2"
8,42,"class_2"
5,47,"class_2"
7,43,"class_2"
12,32,"class_2"
8,33,"class_2"
8,47,"class_2"
10,38,"class_2"
6,42,"class_2"
4,32,"class_3"
2,37,"class_3"
4,35,"class_3"
4,33,"class_3"
2,38,"class_3"
1,40,"class_3"
2,43,"class_3"
3,34,"class_3"
3,36,"class_3"
5,40,"class_3"
1,38,"class_3"
1,45,"class_3"
3,41,"class_3"
3,40,"class_3"
3,34,"class_3"
4,36,"class_3"
4,42,"class_3"
2,47,"class_3"
5,32,"class_3"
4,34,"class_3"
5,42,"class_4"
4,45,"class_4"
3,39,"class_4"
8,35,"class_4"
7,34,"class_4"
2,45,"class_4"
2,47,"class_4"
6,36,"class_4"
9,27,"class_4"
7,33,"class_4"
5,40,"class_4"
6,39,"class_4"
2,52,"class_4"
1,46,"class_4"
6,42,"class_4"
7,34,"class_4"
6,38,"class_4"
6,36,"class_4"
6,42,"class_4"
2,43,"class_4"
